,Unnamed: 0,User Name,Status,Received,Complete,Decision,Type,Sent,grant,GPA,LSAT_x,Last Updated,Year,Law School,match,rank_2018,Tuition,FT Enrollment,Location,threshold,rank_2012,rank_2013,rank_2014,rank_2015,score 2012,score 2013,score 2014,score 2015,score 2009,score 2010,score 2011,rank_2009,rank_2010,rank_2011,rank_2000,rank_2001,rank_2002,rank_2003,rank_2004,rank_2005,rank_2006,rank_2007,rank_2008,rank_1987,rank_1990,rank_1991,rank_1992,rank_1993,rank_1994,rank_1995,rank_1996,rank_1997,rank_1998,rank_1999,Status_Final,Defer,Waitlist,Attend,Withdraw,Part Time,Sent_delta,Decision_delta,Waitlisted,Accepted,Pending,Rejected,ED,SP,grant yes,Attend Reported,Status_Final Reported,unranked,rank_cross,ED_school,ED_cross,SP_school,SP_cross,index,Major,Degree GPA,LSAT 2,LSAT 3,LSAT 1,LSDAS GPA,LSAT,Gender,State,Race2,Years out of Undergrad,group,public,college rank,tuition,groups,social sciences,arts & humanities,business & management,natural sciences,engineering,health professions,other,Athletic/Varsity,Community/Volunteer,Greek,Leadership,Legal Internship,Legal Work Experience,Military,Non-legal Internship,Non-legal Work Experience,Overseas,Strong Letters,Student Societies,EC at all,national_univ,national_lac,midwest_univ,western_univ,north_univ,hbcu,south_univ,western_college,midwest_college,south_college,eng_nodoctorate,north_college,Female,Male,south,west,northeast,midwest,1-2 Years,3-4 Years,In Undergrad,5-9 Years,10+ Years,white,asian and pacific islander,african,"Mixed, probably not urm",hispanic,mexican,puerto rican,Native American or alaskan,neutral,positive,bad,foreign,bad_school,Gender copy,major sum,stem & others,Ranked Nationally,Ranked Regionally,Described Positively,Described Negatively,Described Neutrally,College types reported,rank_2010_cp,unranked_2010,National top 5,National top 6-20,National top 21-50,National below 51,Law unranked,Law top 14,Law top 15-50,Law below 51,minority
42226,42226,1Activist,Accepted  ,,2006-12-22,2007-02-05,,2006-12-22,,3.3,158.0,about 10 years,2006,University of Pittsburgh,University of Pittsburgh,82.0,"$33,152per year (in-state, full-time); $41,332per year (out-of-state, full-time)",413,"Pittsburgh, PA",U Pittsburgh,73.5,72.0,91.0,81.5,48.0,48.0,39.0,40.0,44.0,47.0,48.0,74.5,72.5,69.0,,,,52.5,48.0,53.5,62.0,58.0,74.5,,,,,,,,,,,,3,0,0,0,-1,0,112.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,62.0,0.0,0.0,0.0,0.0,58214,,3.23,162.0,,158.0,3.3,162.0,0.0,,,,,,,,neutral,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,Female,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,72.5,0.0,,,,,0.0,0.0,0.0,1.0,0.0
42227,42227,1Activist,Accepted  W,,2006-12-22,2007-02-21,,2006-12-22,,3.3,158.0,about 10 years,2006,Pepperdine University,Pepperdine University,72.0,"$52,200per year (full-time)",585,"Malibu, CA",Pepperdine U,54.5,49.5,62.0,55.5,53.0,56.0,45.0,47.0,48.0,51.0,53.0,60.5,56.5,52.5,,,,,101.5,79.5,89.5,67.5,60.5,,,,,,,,,,,,3,0,0,0,1,0,112.0,61.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,89.5,0.0,0.0,0.0,0.0,58214,,3.23,162.0,,158.0,3.3,162.0,0.0,,,,,,,,neutral,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,Female,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,56.5,0.0,,,,,0.0,0.0,0.0,1.0,0.0
42228,42228,1Activist,Accepted  W,,2006-12-22,2007-01-10,,2006-12-22,,3.3,158.0,about 10 years,2006,University of San Diego,University of San Diego,77.0,"$50,201per year (full-time)",598,"San Diego, CA",U San Diego,68.5,65.5,72.0,79.5,49.0,50.0,43.0,41.0,42.0,49.0,51.0,84.5,62.5,57.5,,,,61.0,69.0,63.5,67.0,87.5,84.5,,,,,,,,,,,,3,0,0,0,1,0,112.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,67.0,0.0,0.0,0.0,0.0,58214,,3.23,162.0,,158.0,3.3,162.0,0.0,,,,,,,,neutral,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,Female,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,62.5,0.0,,,,,0.0,0.0,0.0,1.0,0.0
42230,42230,1Activist,Accepted  ,,2006-12-22,2007-01-10,,2006-12-22,,3.3,158.0,about 10 years,2006,DePaul University,DePaul University,120.0,"$46,300per year (full-time)",586,"Chicago, IL",DePaul U,89.0,92.0,110.0,124.5,45.0,44.0,33.0,30.0,41.0,43.0,42.0,91.0,90.0,96.0,,,,,,,83.0,93.5,91.0,,,,,,,,,,,,3,0,0,0,-1,0,112.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,83.0,0.0,0.0,0.0,0.0,58214,,3.23,162.0,,158.0,3.3,162.0,0.0,,,,,,,,neutral,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,Female,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,90.0,0.0,,,,,0.0,0.0,0.0,1.0,0.0
42231,42231,1Activist,Accepted  W,,2006-12-22,2007-01-15,,2006-12-22,,3.3,158.0,about 10 years,2006,University of Richmond,University of Richmond,57.0,"$41,500per year (full-time)",440,"Richmond, VA",U Richmond,68.5,59.5,53.0,52.0,49.0,52.0,49.0,48.0,45.0,45.0,44.0,70.0,80.5,88.5,,,,80.5,74.0,74.5,83.0,79.0,70.0,,,,,,,,,,,,3,0,0,0,1,0,112.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,83.0,0.0,0.0,0.0,0.0,58214,,3.23,162.0,,158.0,3.3,162.0,0.0,,,,,,,,neutral,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,Female,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,80.5,0.0,,,,,0.0,0.0,0.0,1.0,0.0
42232,42232,1Activist,Accepted  W,,2006-12-22,2007-01-10,,2006-12-22,,3.3,158.0,about 10 years,2006,Valparaiso University,Valparaiso University,,"$40,372per year (full-time)",328,"Valparaiso, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,1,0,112.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3,1.0,,0.0,0.0,0.0,0.0,58214,,3.23,162.0,,158.0,3.3,162.0,0.0,,,,,,,,neutral,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,Female,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,,,,,1.0,0.0,0.0,0.0,0.0
42233,42233,1Activist,Accepted  W,,2006-12-22,2007-02-06,,2006-12-22,,3.3,158.0,about 10 years,2006,Loyola University Chicago,Loyola University Chicago,82.0,"$47,416per year (full-time)",590.0,"Chicago, IL",Loyola U Chicago,73.5,67.5,77.5,69.5,48.0,49.0,42.0,43.0,42.0,43.0,46.0,84.5,90.0,78.5,,,,73.0,69.0,70.5,73.0,73.0,84.5,,,,,,,,,,,,3,0,0,0,1,0,112.0,46.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,73.0,0.0,0.0,0.0,0.0,58214,,3.23,162.0,,158.0,3.3,162.0,0.0,,,,,,,,neutral,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,Female,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,90.0,0.0,,,,,0.0,0.0,0.0,1.0,0.0
42234,42234,1Activist,Accepted  ,,2006-12-22,2007-02-05,,2006-12-22,,3.3,158.0,about 10 years,2006,Illinois Institute of Technology (Chicago Kent),Chicago-Kent College of Law (IIT),92.0,"$46,822per year (full-time)",607.0,"Chicago, IL",Illinois Institute of Technology,63.5,63.0,72.0,75.0,50.0,51.0,43.0,42.0,46.0,45.0,45.0,66.5,80.5,82.5,,,,73.0,64.5,66.5,62.0,62.5,66.5,,,,,,,,,,,,3,0,0,0,-1,0,112.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,62.0,1.0,0.0,1.0,0.0,58214,,3.23,162.0,,158.0,3.3,162.0,0.0,,,,,,,,neutral,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,Female,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,80.5,0.0,,,,,0.0,0.0,0.0,1.0,0.0
42235,42235,1Activist,Accepted  A,,2006-12-22,2007-01-08,,2006-12-22,,3.3,158.0,about 10 years,2006,Duquesne University,Duquesne University,127.0,"$41,276per year (full-time)",301,"Pittsburgh, PA",Duquesne U,,,143.0,124.5,,,25.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,1,-1,0,112.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3,1.0,,0.0,0.0,0.0,0.0,58214,,3.23,162.0,,158.0,3.3,162.0,0.0,,,,,,,,neutral,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,Female,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,,,,,1.0,0.0,0.0,0.0,0.0
42236,42236,1Lwannabe,Pending D ,,,2007-01-15,,2006-11-26,,3.65,167.0,over 10 years,2006,Northwestern University (Pritzker),Northwestern University,10.0,"$59,850per year (full-time)",661,"Chicago, IL",Northwestern U,12.0,12.0,12.0,12.0,82.0,83.0,79.0,79.0,79.0,80.0,82.0,10.0,11.0,11.5,12.5,13.0,11.0,12.5,10.5,10.0,12.0,12.0,10.0,16.0,11.0,14.0,13.0,13.0,12.0,11.5,14.0,13.0,13.0,12.5,0,0,0,-1,-1,0,86.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1,3,0.0,12.0,1.0,0.0,0.0,0.0,41972,,,,,167.0,3.65,167.0,1.0,arizona,,,national_univ,0.0,5.0,"$57,208",,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Male,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42237,42237,1Lwannabe,Waitlisted  ,,,2007-03-08,,2006-11-26,,3.65,167.0,over 10 years,2006,University of Texas Austin,University of Texas Austin,14.0,"$33,995per year (in-state, full-time); $50,480per year (out-of-state, full-time)",898,"Austin, TX",U Texas,14.5,16.5,15.5,15.0,77.0,77.0,74.0,73.0,71.0,74.0,76.0,16.5,15.5,15.5,15.0,15.0,15.0,15.0,15.0,15.5,16.0,18.0,16.5,11.0,16.0,15.0,15.0,15.0,21.0,17.0,18.0,18.0,31.0,15.0,2,0,1,-1,-1,0,86.0,102.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,3,0.0,16.0,1.0,0.0,0.0,0.0,41972,,,,,167.0,3.65,167.0,1.0,arizona,,,national_univ,0.0,5.0,"$57,208",,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Male,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,15.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42238,42238,1Lwannabe,Accepted  ,,,2007-03-12,,2006-11-26,,3.65,167.0,over 10 years,2006,University of Southern California (Gould),University of Southern California,19.0,"$60,339per year (full-time)",649,"Los Angeles, CA",U Southern California,18.5,18.0,18.0,21.0,73.0,75.0,68.0,65.0,68.0,72.0,71.0,18.0,18.0,18.0,17.0,18.0,19.5,18.0,18.0,18.0,17.5,16.6,18.0,17.5,17.0,16.0,18.0,18.0,18.0,15.0,15.0,15.0,15.0,18.5,3,0,0,-1,-1,0,86.0,106.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1,3,0.0,17.5,0.0,0.0,0.0,0.0,41972,,,,,167.0,3.65,167.0,1.0,arizona,,,national_univ,0.0,5.0,"$57,208",,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Male,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
